(40.78865, -76.87561)
(40.79433, -76.87983)
(40.79476, -76.88000)
(40.79775, -76.88102)
(40.79788, -76.88039)
(40.79804, -76.87967)
(40.79942, -76.88013)
(40.79957, -76.88001)
(40.79886, -76.87649)
(40.79982, -76.87641)
(40.80024, -76.87633)
(40.80100, -76.87615)
(40.80591, -76.87496)
(40.80637, -76.87485)
(40.80757, -76.87472)
(40.80812, -76.87486)
(40.80840, -76.87358)
(40.80903, -76.87061)
(40.80956, -76.86811)
(40.81149, -76.87008)
(40.81170, -76.86996)
(40.81181, -76.86680)
(40.81247, -76.86135)
(40.81245, -76.86051)
(40.81218, -76.85932)
(40.81186, -76.85800)
(40.81172, -76.85751)
(40.81101, -76.85686)
(40.81051, -76.85638)
(40.79961, -76.85272)
(40.78691, -76.85698)
(40.78725, -76.85858)
(40.78951, -76.86652)
(40.78981, -76.86890)
(40.78896, -76.87400)
(40.78865, -76.87561)
